id_distrito_fecha_hora_trunc;fecha_hora_truncada_accidente;cod_distrito;intensidad_vehiculos
01-2023-04-02 22:00:00;2023-04-02 22:00:00;1;1320.48
01-2023-04-03 07:00:00;2023-04-03 07:00:00;1;1427.79
01-2023-04-03 08:00:00;2023-04-03 08:00:00;1;1847.92
01-2023-04-03 10:00:00;2023-04-03 10:00:00;1;1954.59
01-2023-04-03 17:00:00;2023-04-03 17:00:00;1;2052.65
01-2023-04-04 08:00:00;2023-04-04 08:00:00;1;2028.2
01-2023-04-04 11:00:00;2023-04-04 11:00:00;1;2220.34
01-2023-04-04 17:00:00;2023-04-04 17:00:00;1;2079.13
01-2023-04-05 00:00:00;2023-04-05 00:00:00;1;938.79
01-2023-04-05 12:00:00;2023-04-05 12:00:00;1;2242.41
01-2023-04-06 03:00:00;2023-04-06 03:00:00;1;546.51
01-2023-04-06 17:00:00;2023-04-06 17:00:00;1;1439.51
01-2023-04-07 17:00:00;2023-04-07 17:00:00;1;1585.93
01-2023-04-08 11:00:00;2023-04-08 11:00:00;1;1561.95
01-2023-04-08 15:00:00;2023-04-08 15:00:00;1;1580.95
01-2023-04-08 16:00:00;2023-04-08 16:00:00;1;1477.48
01-2023-04-08 18:00:00;2023-04-08 18:00:00;1;1652.43
01-2023-04-08 20:00:00;2023-04-08 20:00:00;1;1731.66
01-2023-04-09 00:00:00;2023-04-09 00:00:00;1;1628.11
01-2023-04-09 04:00:00;2023-04-09 04:00:00;1;949.7
01-2023-04-09 16:00:00;2023-04-09 16:00:00;1;1528.95
01-2023-04-09 17:00:00;2023-04-09 17:00:00;1;1689.4
01-2023-04-10 06:00:00;2023-04-10 06:00:00;1;935.21
01-2023-04-10 09:00:00;2023-04-10 09:00:00;1;2192.46
01-2023-04-10 12:00:00;2023-04-10 12:00:00;1;2270.41
01-2023-04-10 14:00:00;2023-04-10 14:00:00;1;2258.03
01-2023-04-10 21:00:00;2023-04-10 21:00:00;1;1721.41
01-2023-04-10 23:00:00;2023-04-10 23:00:00;1;1163.01
01-2023-04-11 07:00:00;2023-04-11 07:00:00;1;1916.39
01-2023-04-11 11:00:00;2023-04-11 11:00:00;1;2365.83
01-2023-04-11 15:00:00;2023-04-11 15:00:00;1;2377.21
01-2023-04-11 18:00:00;2023-04-11 18:00:00;1;2414.44
01-2023-04-12 16:00:00;2023-04-12 16:00:00;1;2397.32
01-2023-04-12 20:00:00;2023-04-12 20:00:00;1;2352.22
01-2023-04-12 23:00:00;2023-04-12 23:00:00;1;1355.91
01-2023-04-13 08:00:00;2023-04-13 08:00:00;1;2529.35
01-2023-04-13 11:00:00;2023-04-13 11:00:00;1;2396.83
01-2023-04-13 13:00:00;2023-04-13 13:00:00;1;2422.43
01-2023-04-13 16:00:00;2023-04-13 16:00:00;1;2354.1
01-2023-04-13 21:00:00;2023-04-13 21:00:00;1;2127.41
01-2023-04-14 13:00:00;2023-04-14 13:00:00;1;2438.75
01-2023-04-14 15:00:00;2023-04-14 15:00:00;1;2612.35
01-2023-04-15 00:00:00;2023-04-15 00:00:00;1;1693.75
01-2023-04-15 07:00:00;2023-04-15 07:00:00;1;945.15
01-2023-04-15 16:00:00;2023-04-15 16:00:00;1;1739.46
01-2023-04-16 00:00:00;2023-04-16 00:00:00;1;1772.32
01-2023-04-16 04:00:00;2023-04-16 04:00:00;1;1112.68
01-2023-04-17 02:00:00;2023-04-17 02:00:00;1;499.92
01-2023-04-17 10:00:00;2023-04-17 10:00:00;1;2323.8
01-2023-04-17 11:00:00;2023-04-17 11:00:00;1;2247.54
01-2023-04-17 18:00:00;2023-04-17 18:00:00;1;2338.74
01-2023-04-17 21:00:00;2023-04-17 21:00:00;1;1774.78
01-2023-04-18 10:00:00;2023-04-18 10:00:00;1;2399.21
01-2023-04-18 12:00:00;2023-04-18 12:00:00;1;2249.66
01-2023-04-18 18:00:00;2023-04-18 18:00:00;1;2389.23
01-2023-04-19 14:00:00;2023-04-19 14:00:00;1;2454.52
01-2023-04-19 18:00:00;2023-04-19 18:00:00;1;2438.6
01-2023-04-19 20:00:00;2023-04-19 20:00:00;1;2316.5
01-2023-04-20 00:00:00;2023-04-20 00:00:00;1;1117.26
01-2023-04-20 08:00:00;2023-04-20 08:00:00;1;2527.84
01-2023-04-20 10:00:00;2023-04-20 10:00:00;1;2400.95
01-2023-04-20 11:00:00;2023-04-20 11:00:00;1;2376.46
01-2023-04-20 13:00:00;2023-04-20 13:00:00;1;2404.99
01-2023-04-20 17:00:00;2023-04-20 17:00:00;1;2418.32
01-2023-04-20 18:00:00;2023-04-20 18:00:00;1;2442.85
01-2023-04-20 22:00:00;2023-04-20 22:00:00;1;1699.46
01-2023-04-21 01:00:00;2023-04-21 01:00:00;1;1033.8
01-2023-04-21 06:00:00;2023-04-21 06:00:00;1;915.47
01-2023-04-21 15:00:00;2023-04-21 15:00:00;1;2552.26
01-2023-04-21 19:00:00;2023-04-21 19:00:00;1;2456.68
01-2023-04-21 21:00:00;2023-04-21 21:00:00;1;2360.03
01-2023-04-22 06:00:00;2023-04-22 06:00:00;1;896.63
01-2023-04-22 20:00:00;2023-04-22 20:00:00;1;2155.6
01-2023-04-22 21:00:00;2023-04-22 21:00:00;1;2160.94
01-2023-04-23 02:00:00;2023-04-23 02:00:00;1;1383.89
01-2023-04-23 13:00:00;2023-04-23 13:00:00;1;1177.11
01-2023-04-23 16:00:00;2023-04-23 16:00:00;1;1367.25
01-2023-04-23 19:00:00;2023-04-23 19:00:00;1;1744.1
01-2023-04-23 23:00:00;2023-04-23 23:00:00;1;1205.55
01-2023-04-24 08:00:00;2023-04-24 08:00:00;1;2111.6
